id,subBooks
978-7-5688-4493-2,民族之魂
978-7-205-09274-0,传世名著典藏丛书
978-7-03-059888-2,当代中国公共管理研究精粹丛书
978-7-5477-3092-8,寓教于乐系列
978-7-5682-5569-1,中国老故事系列
978-7-5126-6243-8,春语集
978-7-03-058157-0,大连理工大学管理论丛
978-7-5409-7840-2,凤凰文丛
978-7-5126-6461-6,文心琴韵
978-7-5705-0329-2,名校有影响力的课程系列
978-7-5707-0190-2,小青鸟中国名家童话阅读宝库
978-7-5451-4728-5,亲子共读温馨童话读本系列
978-7-5575-3843-9,有爱的我们
978-7-5209-0030-0,主要国家（地区）市场监管机构和制度研究丛书
978-7-5110-3009-2,中国传统修身故事绘本
978-7-5162-1757-3,中国古代大案探奇录
978-7-01-019483-7,京剧谭门
978-7-5445-5072-7,季羡林文集
978-7-5599-0871-1,新时代中国研究
978-7-202-13049-0,尿布猪小弟行为认知训练
978-7-310-05574-6,金融服务实体经济丛书
978-7-5507-2396-2,本色文丛
978-7-111-60233-0,华章经典
978-7-5178-2860-0,方法工具与日语教学研究丛书
978-7-5409-8062-7,锦绣文韵
978-7-5087-5988-3,当代著名作家美文自选集
978-7-5126-6263-6,精彩福海
978-7-5409-8061-0,圣立作家文丛
978-7-5414-9706-3,七彩云南儿童文学原创精品书系双语读本
978-7-5016-1395-3,曹文轩文集 : 珍藏版
978-7-5153-4659-5,小鹿杏仁儿
978-7-5321-6489-9,上海老作家文丛
978-7-5562-3677-0,四叶草丛书
978-7-5455-4276-9,小巴掌童话
978-7-5126-6032-8,学思文韵
978-7-5314-8068-6,“识”趣系列
